"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1600000US0109500","Brook Highland CDP, Alabama","1295","59","1157","104","1200","60","1328","52","1560","237","-","**","-","**",
"1600000US0109736","Brookside town, Alabama","-","**","-","**","-","**","1050","857","1100","254","-","**","-","**",
"1600000US0109808","Brookwood town, Alabama","1172","119","-","**","-","**","1066","242","1172","187","-","**","-","**",
"1600000US0109880","Broomtown CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0110240","Brundidge city, Alabama","652","210","-","**","346","85","667","591","850","180","-","**","-","**",
"1600000US0110456","Bucks CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0111032","Butler town, Alabama","667","361","-","**","383","197","-","**","875","108","-","**","-","**",
"1600000US0111416","Calera city, Alabama","1561","123","-","**","933","704","1121","580","1516","155","1973","325","-","**",
"1600000US0111488","Calvert CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0111512","Camden city, Alabama","520","352","-","**","-","**","526","330","-","**","-","**","-","**",
"1600000US0111680","Camp Hill town, Alabama","580","205","-","**","344","265","-","**","802","417","-","**","-","**",
"1600000US0112016","Carbon Hill city, Alabama","507","189","-","**","425","234","585","45","-","**","625","323","-","**",
"1600000US0112040","Cardiff town, Alabama","375","137","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0112070","Carlisle-Rockledge CDP, Alabama","748","145","-","**","-","**","775","8","622","102","-","**","-","**",
"1600000US0112112","Carlton CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0112160","Carolina town, Alabama","810","165","-","**","-","**","910","390","-","**","-","**","-","**",
"1600000US0112304","Carrollton town, Alabama","460","411","-","**","-","**","185","20","658","142","-","**","-","**",
"1600000US0112496","Castleberry town, Alabama","635","35","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0112544","Catherine CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0112760","Cedar Bluff town, Alabama","556","72","-","**","-","**","535","52","621","250","-","**","-","**",
"1600000US0113264","Center Point city, Alabama","1050","75","-","**","760","149","950","36","1332","86","1422","172","-","**",
"1600000US0113648","Centre city, Alabama","649","111","-","**","349","146","667","80","-","**","-","**","-","**",
"1600000US0113672","Centreville city, Alabama","657","423","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0114008","Chatom town, Alabama","380","146","-","**","364","113","367","84","732","401","-","**","-","**",
"1600000US0114104","Chelsea city, Alabama","1486","288","-","**","-","**","-","**","1454","240","-","**","-","**",
"1600000US0114152","Cherokee town, Alabama","831","103","-","**","-","**","344","46","916","73","-","**","-","**",
"1600000US0114392","Chickasaw city, Alabama","871","79","559","412","619","151","829","124","1005","83","-","**","-","**",
"1600000US0114464","Childersburg city, Alabama","790","144","-","**","-","**","745","48","1166","157","-","**","-","**",
"1600000US0114728","Choccolocco CDP, Alabama","1289","725","-","**","-","**","735","44","1340","356","-","**","-","**",
"1600000US0114968","Chunchula CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0115064","Citronelle city, Alabama","858","200","-","**","-","**","669","93","1013","233","-","**","-","**",
"1600000US0115136","Clanton city, Alabama","896","90","-","**","533","180","852","45","1066","131","-","**","-","**",
"1600000US0115256","Clay city, Alabama","918","309","-","**","-","**","-","**","1341","168","-","**","-","**",
"1600000US0115304","Clayhatchee town, Alabama","780","132","-","**","-","**","769","65","-","**","-","**","-","**",
"1600000US0115376","Clayton town, Alabama","701","63","-","**","531","464","675","164","730","49","-","**","-","**",
"1600000US0115472","Cleveland town, Alabama","788","314","-","**","-","**","671","25","930","41","-","**","-","**",
"1600000US0115640","Clio city, Alabama","403","93","-","**","-","**","376","28","-","**","-","**","-","**",
"1600000US0116000","Coaling town, Alabama","788","51","-","**","-","**","-","**","856","294","-","**","-","**",
"1600000US0116080","Coats Bend CDP, Alabama","803","53","-","**","-","**","-","**","782","103","-","**","-","**",
"1600000US0116240","Coffee Springs town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0116264","Coffeeville town, Alabama","383","249","-","**","-","**","367","165","-","**","-","**","-","**",
"1600000US0116312","Coker town, Alabama","1328","467","-","**","-","**","850","154","-","**","-","**","-","**",
"1600000US0116600","Collinsville town, Alabama","520","166","-","**","163","132","527","297","540","402","-","**","-","**",
"1600000US0116684","Colony town, Alabama","625","174","-","**","-","**","-","**","625","174","-","**","-","**",
"1600000US0116744","Columbia town, Alabama","830","45","-","**","-","**","794","104","867","103","-","**","-","**",
"1600000US0116768","Columbiana city, Alabama","828","113","-","**","705","92","879","98","-","**","-","**","-","**",
"1600000US0116936","Concord CDP, Alabama","1037","654","-","**","-","**","726","325","1589","557","-","**","-","**",
"1600000US0117176","Coosada town, Alabama","820","257","-","**","-","**","-","**","736","410","-","**","-","**",
"1600000US0117368","Cordova city, Alabama","340","100","-","**","350","129","563","562","-","**","-","**","-","**",
"1600000US0117704","Cottondale CDP, Alabama","883","172","-","**","-","**","985","246","-","**","-","**","-","**",
"1600000US0117824","Cottonwood town, Alabama","358","162","-","**","262","22","285","86","771","72","-","**","-","**",
"1600000US0117968","County Line town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0118040","Courtland town, Alabama","660","290","-","**","315","172","625","427","750","51","-","**","-","**",
"1600000US0118088","Cowarts town, Alabama","760","113","-","**","-","**","569","164","808","91","-","**","-","**",
"1600000US0118304","Creola city, Alabama","942","284","-","**","-","**","694","327","1091","398","-","**","-","**",
"1600000US0118856","Crossville town, Alabama","620","436","-","**","379","128","430","170","1179","284","-","**","-","**",
"1600000US0118952","Cuba town, Alabama","918","642","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0118976","Cullman city, Alabama","840","42","615","54","577","27","837","32","1158","146","2008","735","-","**",
"1600000US0119024","Cullomburg CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0119216","Cusseta town, Alabama","1042","536","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0119336","Dadeville city, Alabama","844","179","-","**","712","472","683","265","1103","47","-","**","-","**",
"1600000US0119360","Daleville city, Alabama","731","33","-","**","593","66","723","26","787","21","-","**","-","**",
