State,Reviewing and approving authorities for projects not requiring rezoning,Reviewing and approving authorities for rezoning,Allows Accessory Dwelling Units,Median height restriction (feet),Modal height restriction (feet),Median parking spaces required,Modal parking spaces required,Proportion of residential districts (including mixed use) in municipality that permit multi-family housing,Explicit growth controls index,Open space requirements index ,Minimum lot size index,Maximum permitted density index,Inclusionary zoning programmes index,Maximum height index,Zoning Restrictiveness Index,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City,lat,lng,population,density,Cluster
AZ,3,3,1,30,30,1,1,0.588235294,0,0,3,1,0,30,2.485879543,19875,388900,324,1532,79,17452,488,116971,1734,2079,1472,1339,1505,1831,Tempe,33.3881,-111.9319,181005,1748.3,4
AZ,2,3,1,14,10,2,2,0.2,0,1,4,3,0,14,2.30762747,702,274200,0,77,0,625,0,59167,1372,1497,1121,1116,1113,1140,Tolleson,33.4484,-112.256,7221,486.3,7
AZ,3,3,1,50,50,2,2,0.5,0,1,4,2,1,50,3.523972406,70978,227700,1185,3400,194,65260,939,81744,1373,1763,991,827,1061,1405,Tucson,32.1541,-110.8787,878320,863.9,2
AZ,2,2,0,35,10,3,1,0.5,0,1,4,2,0,35,2.497104804,634,159500,0,35,0,590,9,89091,1275,674,848,795,809,934,Winslow,35.0243,-110.7095,8943,265.9,3
AZ,2,3,1,20,20,2,1,0.15,0,1,2,1,1,20,2.688821464,13451,220700,351,401,221,12357,121,87830,1431,1566,1028,752,1014,1229,Yuma,32.5995,-114.5491,135389,307.8,7
AR,1,3,1,38.5,30,2,2,0.3,0,1,4,1,0,38.5,2.601971115,8280,337100,86,364,0,7821,9,145578,1928,2531,1151,987,1071,1422,Bentonville,36.3547,-94.2305,54513,600.5,4
AR,3,3,1,22.5,20,2,2,0,0,1,3,3,0,22.5,2.311267532,3983,226000,159,110,0,3684,30,108055,1464,1526,932,808,923,1208,Bryant,34.6152,-92.4914,20750,390.6,7
AR,3,3,1,20,25,2,2,0.333333333,0,1,1,2,0,20,1.871957746,868,150500,30,33,0,805,0,50909,955,884,713,503,715,868,Clarksville,35.457,-93.4803,9453,200.4,7
AR,2,3,1,35,35,2,2,0.5,0,0,3,2,0,35,1.744945988,7468,224800,121,456,9,6784,98,108351,1451,1382,942,758,894,1253,Conway,35.0753,-92.4692,69651,541.1,3
AR,2,3,1,50,50,3,2,0.5625,0,1,4,1,0,50,2.99781227,11185,300000,107,435,5,10510,128,125736,1703,1822,944,778,936,1356,Fayetteville,36.0714,-94.1661,394650,672.8,3
