"lhs","Var.2","rhs","support","confidence","coverage","lift","count"
"{max_den_cat5, planning_nz, council_rz}","=>","{council_nz}",0.376185058778915,0.891284815813118,0.422070534698521,1.10551178706453,992
"{max_den_cat5, council_rz, planning_rz}","=>","{open_space}",0.321956769055745,0.741484716157205,0.434205536594615,1.09724758502051,849
"{max_den_cat5, council_rz, planning_rz}","=>","{council_nz}",0.383769434963974,0.883842794759825,0.434205536594615,1.09628102059344,1012
"{open_space, planning_nz, council_rz, planning_rz, adu}","=>","{council_nz}",0.278346605991657,0.883273164861613,0.315130830489192,1.09557447588903,734
"{max_den_cat5, council_rz}","=>","{council_nz}",0.394008342813804,0.882752761257434,0.446340538490709,1.09492898938657,1039
"{max_den_cat5, planning_rz}","=>","{open_space}",0.339780053090633,0.739884393063584,0.459233978005309,1.09487943013955,896
"{open_space, council_rz, planning_rz, adu}","=>","{council_nz}",0.284793325748957,0.882491186839013,0.322715206674251,1.09460454360041,751
"{max_den_cat4, planning_nz, council_rz, planning_rz}","=>","{council_nz}",0.223739097459234,0.881913303437967,0.253697383390216,1.09388776160203,590
"{max_den_cat4, planning_nz, council_rz}","=>","{council_nz}",0.229048160788775,0.881751824817518,0.259764884338263,1.09368747038749,604
"{open_space, half_acre_less, planning_nz, planning_rz}","=>","{council_nz}",0.208570345089116,0.881410256410256,0.236632536973834,1.09326380345901,550
"{open_space, planning_nz, council_rz, adu}","=>","{council_nz}",0.280242700037922,0.880810488676996,0.318164580963216,1.09251987706549,739
"{open_space, council_rz, adu}","=>","{council_nz}",0.292756920743269,0.880273660205245,0.332574895714827,1.09185401785571,772
"{max_den_cat5, council_rz}","=>","{open_space}",0.329161926431551,0.737468139337298,0.446340538490709,1.09130386275671,868
"{open_space, half_acre_less, planning_rz}","=>","{council_nz}",0.213500189609405,0.8796875,0.242700037921881,1.09112696966134,563
"{planning_nz, council_rz, planning_rz, adu}","=>","{council_nz}",0.345089116420174,0.879227053140097,0.392491467576792,1.09055585095505,910
"{open_space, half_acre_less, planning_nz}","=>","{council_nz}",0.210845657944634,0.878357030015798,0.24004550625711,1.08947671126607,556
"{council_rz, planning_rz, adu}","=>","{council_nz}",0.353431930223739,0.87758945386064,0.402730375426621,1.08852464244144,932
"{half_acre_less, council_rz, planning_rz}","=>","{council_nz}",0.338263177853622,0.87708947885939,0.385665529010239,1.08790449470941,892
"{open_space, planning_nz, council_rz, planning_rz}","=>","{council_nz}",0.513841486537732,0.877022653721683,0.585893060295791,1.08782160765008,1355
"{planning_nz, council_rz, adu}","=>","{council_nz}",0.346985210466439,0.876436781609195,0.395904436860068,1.08709491679372,915
"{open_space, planning_nz, council_rz}","=>","{council_nz}",0.521046643913538,0.875717017208413,0.594994311717861,1.08620215163621,1374
"{council_rz, adu}","=>","{council_nz}",0.363291619264316,0.874885844748858,0.415244596131968,1.0851712006598,958
"{open_space, council_rz, planning_rz}","=>","{council_nz}",0.526734926052332,0.874685138539043,0.602199469093667,1.08492225321141,1389
"{open_space, max_den_cat5, council_nz}","=>","{council_rz}",0.295411452408039,0.991094147582697,0.29806598407281,1.08489633340622,779
"{max_den_cat5, council_nz, adu}","=>","{council_rz}",0.210845657944634,0.99108734402852,0.212741751990899,1.0848888859291,556
"{planning_nz, council_rz, planning_rz}","=>","{council_nz}",0.73416761471369,0.873646209386282,0.840348881304513,1.0836336096668,1936
"{max_den_cat4, council_rz, planning_rz}","=>","{council_nz}",0.230185817216534,0.873381294964029,0.263557072430793,1.08330502108191,607
"{open_space, half_acre_less, council_nz}","=>","{council_rz}",0.215396283655669,0.989547038327526,0.217671596511187,1.08320279787036,568
"{open_space, council_rz}","=>","{council_nz}",0.542662116040956,0.872560975609756,0.62191884717482,1.08228753183581,1431
"{max_den_cat5, council_nz}","=>","{council_rz}",0.394008342813804,0.987642585551331,0.398938187334092,1.081118098007,1039
"{max_den_cat4, council_rz}","=>","{council_nz}",0.241941600303375,0.871584699453552,0.277588168373151,1.08107660040405,638
"{open_space, half_acre_less}","=>","{council_nz}",0.217671596511187,0.871016691957511,0.249905195297687,1.08037206805831,574
