GEOID,statename,place,type,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,total_nz,total_rz,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf_per,maxden5,maxden4,maxden3,maxden2,maxden1,sindex1,sindex2,sindex3,sindex4,sindex5,sindex6,sindex7,sindex8,height_st_median_sc,height_st_mode_sc,sindex9,sindex10,sindex11,sindex9_st,sindex10_st,zri,Geography,Geographic Area Name_x,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,"HOUSEHOLD INCOME Less than $10,000","HOUSEHOLD INCOME $10,000 to $24,999","HOUSEHOLD INCOME $25,000 to $34,999","HOUSEHOLD INCOME $35,000 to $49,999","HOUSEHOLD INCOME $50,000 to $74,999","HOUSEHOLD INCOME $75,000 to $99,999","HOUSEHOLD INCOME $100,000 to $149,999","HOUSEHOLD INCOME $150,000 or more",Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total No bedroom,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City Name,city,county_name,lat,lng,population,density
3763880,NC,Spindale,Town,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,50,35,,,1.5,1.5,0,0,1,0,0,0,0,0,1,2,3,2,0,1,,,50,1.5,0,1.2388269,-0.358812026,0.960543801,1600000US3763880,"Spindale town, North Carolina",478,150000,0,20,0,458,0,7,47,65,78,65,26,71,119,73145,897,1673,683,,583,687,732,Spindale,Spindale,Rutherford,35.3597,-81.9232,4218,301.2
3764740,NC,Statesville,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,1,50,35,,,2,1,0.35,1,0,0,0,0,0,1,1,3,3,1,0,1,,,50,2,0.35,1.2388269,0.164805906,2.217050146,1600000US3764740,"Statesville city, North Carolina",4350,208200,0,452,91,3639,168,103,258,216,687,717,938,958,473,81143,1354,1779,873,784,717,873,1120,Statesville,Statesville,Iredell,35.7842,-80.8713,28576,435.7
3766700,NC,Tarboro,Town,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,1,,,,,2,1,0.444444444,1,0,0,0,0,0,1,1,3,3,1,0,1,,,,2,0.444444444,,0.164805906,2.217050146,1600000US3766700,"Tarboro town, North Carolina",1566,173800,77,188,0,1301,0,37,132,89,165,146,187,398,412,103333,1346,2091,657,,471,593,921,Tarboro,Tarboro,Edgecombe,35.9046,-77.5563,10696,366.4
3768400,NC,Trinity,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,12,12,2.5,2,5,5,0.454545455,0,0,0,1,0,0,0,1,2,3,4,0,1,35,28,12,5,0.454545455,-1.775182629,3.306513498,0.270359001,1600000US3768400,"Trinity city, North Carolina",1163,189600,34,229,8,859,33,25,46,30,74,228,216,366,178,97007,1195,1461,909,,822,941,894,Trinity,Trinity,Randolph,35.8756,-80.0093,7012,160.3
3769520,NC,Valdese,Town,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,40,50,,,5,6,0.2,0,1,0,0,0,0,0,1,2,3,2,0,1,,,40,5,0.2,0.445666498,3.306513498,0.960543801,1600000US3769520,"Valdese town, North Carolina",831,208100,29,62,0,660,80,0,12,8,258,63,154,178,158,89219,1337,1766,622,,323,635,1068,Valdese,Valdese,Burke,35.7566,-81.5634,4682,230
3770380,NC,Wadesboro,Town,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,25,15,,,1,1,0,0,0,0,1,0,0,0,1,2,3,4,0,0,,,25,1,0,-0.744074106,-0.882429958,0.270359001,1600000US3770380,"Wadesboro town, North Carolina",571,97800,0,10,0,561,0,92,37,55,71,145,82,46,43,54089,1107,1130,893,,582,885,939,Wadesboro,Wadesboro,Anson,34.9645,-80.0746,5004,292.9
3770540,NC,WakeForest,Town,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,1,20,20,3,3,2,2,0.545454545,0,1,0,0,0,0,1,3,3,3,2,0,1,42,42,20,2,0.545454545,-1.140654307,0.164805906,2.656359932,1600000US3770540,"Wake Forest town, North Carolina",9617,402800,203,1214,38,8130,32,46,196,28,385,992,940,2797,4233,137049,2114,3484,1354,1266,1140,1232,1702,Wake Forest,Wake Forest,Wake,35.9632,-78.514,48047,950.4
3770720,NC,Wallace,Town,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,35,35,3,3,1,1,0.142857143,0,0,1,0,0,0,1,1,2,3,3,0,1,42,42,35,1,0.142857143,0.049086297,-0.882429958,1.131024191,1600000US3770720,"Wallace town, North Carolina",482,186000,0,78,0,327,77,0,48,0,109,118,76,90,41,60203,1419,1388,589,,383,599,896,Wallace,Wallace,Duplin,34.738,-77.9908,3443,416.3
3771220,NC,Washington,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,3,3,1,50,50,2,2,2,1,0.333333333,1,0,0,0,0,0,1,1,3,3,1,0,1,28,28,50,2,0.333333333,1.2388269,0.164805906,2.217050146,1600000US3771220,"Washington city, North Carolina",1165,208900,8,59,0,1061,37,26,45,8,37,497,117,196,239,73185,1641,1842,827,430,471,829,953,Washington,Washington,Beaufort,35.5586,-77.0545,9759,460.1
3771680,NC,Weddington,Town,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,27.5,35,2,2,1.5,1,0.142857143,0,0,1,0,0,0,1,3,2,3,3,0,0,28,28,27.5,1.5,0.142857143,-0.545784005,-0.358812026,1.915426377,1600000US3771680,"Weddington town, North Carolina",2979,677800,246,492,13,2206,22,36,5,11,134,187,106,551,1949,197417,2932,3941,1985,,,,2100,Weddington,Weddington,Union,35.0228,-80.7383,13173,290.2
